event,distance,time,uncertainty,uom
33,d3,778,1,C26
34,d3,778,1,C26
35,d3,779,1,C26
36,d3,778,1,C26
37,d3,798,1,C26
38,d3,778,1,C26
39,d3,779,1,C26
40,d3,778,1,C26
41,d3,780,1,C26
42,d3,781,1,C26
43,d3,779,1,C26
44,d3,780,1,C26
45,d3,778,1,C26
46,d3,777,1,C26
47,d3,777,1,C26
48,d3,778,1,C26
49,d3,776,1,C26
50,d3,799,1,C26
51,d3,778,1,C26
52,d3,776,1,C26
53,d3,779,1,C26
54,d3,779,1,C26
55,d3,774,1,C26
56,d3,777,1,C26
57,d3,798,1,C26
58,d3,778,1,C26
59,d3,776,1,C26
60,d3,778,1,C26
61,d3,797,1,C26
62,d3,778,1,C26
63,d3,780,1,C26
64,d3,782,1,C26
65,d3,777,1,C26
66,d3,779,1,C26
67,d3,776,1,C26
68,d3,798,1,C26
69,d3,781,1,C26
70,d3,777,1,C26
71,d3,798,1,C26
72,d3,776,1,C26
73,d3,779,1,C26
74,d3,779,1,C26
75,d3,777,1,C26
76,d3,779,1,C26
77,d3,781,1,C26
78,d3,780,1,C26
79,d3,776,1,C26
80,d3,779,1,C26
81,d3,777,1,C26
82,d3,778,1,C26
83,d3,779,1,C26
84,d3,777,1,C26
85,d3,776,1,C26
86,d3,779,1,C26
87,d3,779,1,C26
88,d3,775,1,C26
89,d3,777,1,C26
90,d3,779,1,C26
91,d3,780,1,C26
92,d3,779,1,C26
93,d3,775,1,C26
94,d3,777,1,C26
95,d3,778,1,C26
96,d3,778,1,C26
97,d3,776,1,C26
98,d3,778,1,C26
99,d3,777,1,C26
100,d3,779,1,C26
1,d4,798,1,C26
2,d4,797,1,C26
3,d4,797,1,C26
4,d4,795,1,C26
5,d4,801,1,C26
6,d4,797,1,C26
7,d4,799,1,C26
8,d4,798,1,C26
9,d4,795,1,C26
10,d4,802,1,C26
11,d4,797,1,C26
12,d4,798,1,C26
13,d4,794,1,C26
14,d4,797,1,C26
15,d4,797,1,C26
16,d4,802,1,C26
17,d4,801,1,C26
18,d4,800,1,C26
19,d4,798,1,C26
20,d4,798,1,C26
21,d4,797,1,C26
22,d4,798,1,C26
23,d4,801,1,C26
24,d4,801,1,C26
25,d4,798,1,C26
26,d4,795,1,C26
27,d4,798,1,C26
28,d4,795,1,C26
29,d4,799,1,C26
30,d4,797,1,C26
31,d4,820,1,C26
32,d4,817,1,C26
33,d4,803,1,C26
34,d4,796,1,C26
35,d4,798,1,C26
36,d4,797,1,C26
37,d4,795,1,C26
38,d4,798,1,C26
39,d4,797,1,C26
40,d4,794,1,C26
41,d4,801,1,C26
42,d4,800,1,C26
43,d4,796,1,C26
44,d4,828,1,C26
45,d4,797,1,C26
46,d4,798,1,C26
47,d4,798,1,C26
48,d4,798,1,C26
49,d4,805,1,C26
50,d4,798,1,C26
51,d4,820,1,C26
52,d4,797,1,C26
53,d4,794,1,C26
54,d4,796,1,C26
55,d4,800,1,C26
56,d4,794,1,C26
57,d4,801,1,C26
58,d4,796,1,C26
59,d4,796,1,C26
60,d4,801,1,C26
61,d4,796,1,C26
62,d4,794,1,C26
63,d4,799,1,C26
64,d4,794,1,C26
65,d4,798,1,C26
66,d4,794,1,C26
67,d4,797,1,C26
68,d4,795,1,C26
69,d4,795,1,C26
70,d4,802,1,C26
71,d4,799,1,C26
72,d4,797,1,C26
73,d4,800,1,C26
74,d4,798,1,C26
75,d4,798,1,C26
76,d4,797,1,C26
77,d4,801,1,C26
78,d4,799,1,C26
79,d4,794,1,C26
80,d4,797,1,C26
81,d4,801,1,C26
82,d4,798,1,C26
83,d4,800,1,C26
84,d4,798,1,C26
85,d4,799,1,C26
86,d4,798,1,C26
87,d4,797,1,C26
88,d4,797,1,C26
89,d4,793,1,C26
90,d4,801,1,C26
91,d4,796,1,C26
92,d4,798,1,C26
93,d4,797,1,C26
94,d4,798,1,C26
95,d4,798,1,C26
96,d4,800,1,C26
97,d4,801,1,C26
98,d4,795,1,C26
99,d4,796,1,C26
100,d4,796,1,C26
1,d5,1019,1,C26
2,d5,1018,1,C26
3,d5,998,1,C26
4,d5,999,1,C26
5,d5,1019,1,C26
6,d5,1024,1,C26
7,d5,997,1,C26
8,d5,998,1,C26
9,d5,1019,1,C26
10,d5,1016,1,C26
11,d5,1000,1,C26
12,d5,998,1,C26
13,d5,1020,1,C26
14,d5,1017,1,C26
15,d5,1016,1,C26
16,d5,995,1,C26
17,d5,1016,1,C26
18,d5,1018,1,C26
19,d5,1012,1,C26
20,d5,998,1,C26
21,d5,997,1,C26
22,d5,1019,1,C26
23,d5,1017,1,C26
24,d5,997,1,C26
25,d5,998,1,C26
26,d5,1018,1,C26
27,d5,1018,1,C26
28,d5,998,1,C26
29,d5,996,1,C26
30,d5,1017,1,C26
31,d5,1020,1,C26
32,d5,1019,1,C26
33,d5,1017,1,C26
34,d5,997,1,C26
35,d5,1018,1,C26
36,d5,1016,1,C26
37,d5,1001,1,C26
38,d5,993,1,C26
39,d5,1018,1,C26
40,d5,1019,1,C26
41,d5,1016,1,C26
42,d5,1018,1,C26
43,d5,1018,1,C26
44,d5,997,1,C26
45,d5,1018,1,C26
46,d5,1015,1,C26
47,d5,1021,1,C26
48,d5,1001,1,C26
49,d5,1016,1,C26
50,d5,1018,1,C26
51,d5,1017,1,C26
52,d5,997,1,C26
53,d5,996,1,C26
54,d5,1020,1,C26
55,d5,1020,1,C26
56,d5,998,1,C26
57,d5,995,1,C26
58,d5,1017,1,C26
59,d5,1020,1,C26
60,d5,998,1,C26
61,d5,1019,1,C26
62,d5,995,1,C26
63,d5,1018,1,C26
64,d5,1020,1,C26
65,d5,1018,1,C26
66,d5,999,1,C26
67,d5,1018,1,C26
68,d5,1018,1,C26
69,d5,1016,1,C26
70,d5,997,1,C26
71,d5,1000,1,C26
72,d5,1017,1,C26
73,d5,1017,1,C26
74,d5,1019,1,C26
75,d5,998,1,C26
76,d5,998,1,C26
77,d5,1017,1,C26
78,d5,1019,1,C26
79,d5,1017,1,C26
80,d5,1017,1,C26
81,d5,1018,1,C26
82,d5,1016,1,C26
83,d5,1002,1,C26
84,d5,994,1,C26
85,d5,1015,1,C26
86,d5,1017,1,C26
87,d5,1019,1,C26
88,d5,1000,1,C26
89,d5,1019,1,C26
90,d5,1017,1,C26
98,d5,998,1,C26
99,d5,998,1,C26
100,d5,1018,1,C26
101,d5,1019,1,C26
102,d5,998,1,C26
103,d5,997,1,C26
104,d5,1018,1,C26
105,d5,1015,1,C26
106,d5,997,1,C26
107,d5,998,1,C26
1,d6,1576,1,C26
2,d6,1555,1,C26
3,d6,1557,1,C26
4,d6,1578,1,C26
5,d6,1560,1,C26
6,d6,1553,1,C26
7,d6,1579,1,C26
8,d6,1563,1,C26
9,d6,1555,1,C26
10,d6,1576,1,C26
11,d6,1558,1,C26
12,d6,1554,1,C26
13,d6,1576,1,C26
14,d6,1556,1,C26
15,d6,1556,1,C26
16,d6,1577,1,C26
17,d6,1559,1,C26
18,d6,1556,1,C26
19,d6,1577,1,C26
20,d6,1555,1,C26
21,d6,1553,1,C26
22,d6,1559,1,C26
23,d6,1574,1,C26
24,d6,1554,1,C26
25,d6,1556,1,C26
26,d6,1577,1,C26
27,d6,1560,1,C26
28,d6,1578,1,C26
29,d6,1579,1,C26
30,d6,1558,1,C26
31,d6,1576,1,C26
32,d6,1556,1,C26
33,d6,1557,1,C26
34,d6,1577,1,C26
35,d6,1577,1,C26
36,d6,1557,1,C26
37,d6,1554,1,C26
38,d6,1579,1,C26
39,d6,1577,1,C26
40,d6,1558,1,C26
41,d6,1578,1,C26
42,d6,1562,1,C26
43,d6,1558,1,C26
44,d6,1578,1,C26
45,d6,1558,1,C26
46,d6,1557,1,C26
47,d6,1575,1,C26
48,d6,1575,1,C26
49,d6,1561,1,C26
50,d6,1555,1,C26
51,d6,1577,1,C26
52,d6,1557,1,C26
53,d6,1558,1,C26
54,d6,1578,1,C26
55,d6,1573,1,C26
56,d6,1554,1,C26
57,d6,1556,1,C26
58,d6,1579,1,C26
59,d6,1573,1,C26
60,d6,1579,1,C26
61,d6,1559,1,C26
62,d6,1577,1,C26
63,d6,1577,1,C26
64,d6,1556,1,C26
65,d6,1555,1,C26
66,d6,1576,1,C26
67,d6,1576,1,C26
68,d6,1579,1,C26
69,d6,1571,1,C26
70,d6,1554,1,C26
71,d6,1576,1,C26
72,d6,1595,1,C26
73,d6,1576,1,C26
74,d6,1575,1,C26
75,d6,1581,1,C26
76,d6,1582,1,C26
77,d6,1578,1,C26
78,d6,1577,1,C26
79,d6,1575,1,C26
80,d6,1578,1,C26
81,d6,1580,1,C26
82,d6,1575,1,C26
83,d6,1576,1,C26
84,d6,1571,1,C26
85,d6,1577,1,C26
86,d6,1582,1,C26
87,d6,1579,1,C26
88,d6,1577,1,C26
89,d6,1573,1,C26
90,d6,1598,1,C26
91,d6,1572,1,C26
92,d6,1574,1,C26
93,d6,1583,1,C26
94,d6,1573,1,C26
95,d6,1577,1,C26
96,d6,1578,1,C26
97,d6,1579,1,C26
98,d6,1591,1,C26
99,d6,1600,1,C26
100,d6,1596,1,C26
101,d6,1595,1,C26
