dimension,value,uncertainty,uom
m1,3.88,0.01,GRM
m2,16.27,0.01,GRM
m3,0.34,0.01,GRM
m4,1.49,0.01,GRM
d1,14.29,0.01,MMT
d2,16.37,0.01,MMT
d3,7.61,0.01,MMT
d4,7.66,0.01,MMT
