dimension,value,uncertainty,uom
l1,49.2,0.1,CMT
l2,42.3,0.1,CMT
l3,37.2,0.1,CMT
l4,32.8,0.1,CMT
l5,28.6,0.1,CMT
l6,22.6,0.1,CMT
