index,mass,t5,uncertainty,uom
1,m1,8.4,0.6,SEC
2,m1,8.5,0.6,SEC
3,m1,8.7,0.6,SEC
4,m1,8.5,0.6,SEC
5,m1,8.7,0.6,SEC
6,m1,8.5,0.6,SEC
7,m1,8.6,0.6,SEC
8,m1,8.5,0.6,SEC
9,m1,8.7,0.6,SEC
10,m1,8.5,0.6,SEC
1,m3,9.2,0.6,SEC
2,m3,9.2,0.6,SEC
3,m3,9.2,0.6,SEC
4,m3,9.2,0.6,SEC
5,m3,9.2,0.6,SEC
6,m3,9.1,0.6,SEC
7,m3,9.2,0.6,SEC
8,m3,9.2,0.6,SEC
9,m3,9.3,0.6,SEC
10,m3,9.2,0.6,SEC
1,m4,8.3,0.6,SEC
2,m4,8.4,0.6,SEC
3,m4,8.4,0.6,SEC
4,m4,8.4,0.6,SEC
5,m4,8.3,0.6,SEC
6,m4,8.3,0.6,SEC
7,m4,8.4,0.6,SEC
8,m4,8.4,0.6,SEC
9,m4,8.4,0.6,SEC
10,m4,8.5,0.6,SEC
1,m5,8.5,0.6,SEC
2,m5,8.5,0.6,SEC
3,m5,8.5,0.6,SEC
4,m5,8.4,0.6,SEC
5,m5,8.4,0.6,SEC
6,m5,8.5,0.6,SEC
7,m5,8.5,0.6,SEC
8,m5,8.5,0.6,SEC
9,m5,8.4,0.6,SEC
10,m5,8.4,0.6,SEC
