index,mass,t2,uncertainty,uom
1,m2,5.8,0.8,SEC
2,m2,5.3,0.8,SEC
3,m2,5.4,0.8,SEC
4,m2,5.4,0.8,SEC
5,m2,5.4,0.8,SEC
6,m2,5.2,0.8,SEC
7,m2,5.3,0.8,SEC
8,m2,5.2,0.8,SEC
9,m2,5.3,0.8,SEC
10,m2,5.2,0.8,SEC
11,m2,5.3,0.8,SEC
12,m2,5.1,0.8,SEC
13,m2,5.2,0.8,SEC
14,m2,5.2,0.8,SEC
15,m2,5.4,0.8,SEC
16,m2,5.2,0.8,SEC
17,m2,5.2,0.8,SEC
18,m2,5.3,0.8,SEC
19,m2,5.0,0.8,SEC
20,m2,5.1,0.8,SEC
1,m3,3.7,0.8,SEC
2,m3,3.7,0.8,SEC
3,m3,3.7,0.8,SEC
4,m3,3.7,0.8,SEC
5,m3,3.5,0.8,SEC
6,m3,3.5,0.8,SEC
7,m3,3.7,0.8,SEC
8,m3,3.9,0.8,SEC
9,m3,3.7,0.8,SEC
10,m3,3.5,0.8,SEC
11,m3,3.6,0.8,SEC
12,m3,3.7,0.8,SEC
13,m3,3.7,0.8,SEC
14,m3,3.8,0.8,SEC
15,m3,3.8,0.8,SEC
16,m3,3.8,0.8,SEC
17,m3,3.9,0.8,SEC
18,m3,3.7,0.8,SEC
19,m3,3.7,0.8,SEC
20,m3,3.7,0.8,SEC
1,m4,3.4,0.8,SEC
2,m4,3.4,0.8,SEC
3,m4,3.6,0.8,SEC
4,m4,3.8,0.8,SEC
5,m4,3.6,0.8,SEC
6,m4,3.6,0.8,SEC
7,m4,3.4,0.8,SEC
8,m4,3.3,0.8,SEC
9,m4,3.5,0.8,SEC
10,m4,3.5,0.8,SEC
11,m4,3.8,0.8,SEC
12,m4,3.6,0.8,SEC
13,m4,3.8,0.8,SEC
14,m4,3.7,0.8,SEC
15,m4,3.6,0.8,SEC
16,m4,3.4,0.8,SEC
17,m4,3.5,0.8,SEC
18,m4,3.6,0.8,SEC
19,m4,3.4,0.8,SEC
20,m4,3.5,0.8,SEC
1,m5,3.4,0.8,SEC
2,m5,3.6,0.8,SEC
3,m5,3.7,0.8,SEC
4,m5,3.4,0.8,SEC
5,m5,3.8,0.8,SEC
6,m5,3.6,0.8,SEC
7,m5,3.7,0.8,SEC
8,m5,3.4,0.8,SEC
9,m5,3.5,0.8,SEC
10,m5,3.5,0.8,SEC
11,m5,3.5,0.8,SEC
12,m5,3.4,0.8,SEC
13,m5,3.4,0.8,SEC
14,m5,3.4,0.8,SEC
15,m5,3.4,0.8,SEC
16,m5,3.5,0.8,SEC
17,m5,3.4,0.8,SEC
18,m5,3.4,0.8,SEC
19,m5,3.3,0.8,SEC
20,m5,3.4,0.8,SEC
