dimension,value,uncertainty,uom
m1,76.32,0.01,GRM
m21,77.12,0.01,GRM
m22,78.92,0.01,GRM
m23,80.03,0.01,GRM
m31,76.78,0.01,GRM
m32,78.62,0.01,GRM
m33,79.59,0.01,GRM
M1,76.27,0.01,GRM
M21,77.08,0.01,GRM
M22,78.86,0.01,GRM
M23,79.97,0.01,GRM
M31,76.77,0.01,GRM
M32,78.56,0.01,GRM
M33,79.56,0.01,GRM
